film_id;title;description;release_year;rating;length;genre
1;EMPIRE ECHO DRAGON GALAXY 1;Synthetic film for student projects.;1990;G;72;Romance
2;RETURN SPARK SECRET HORIZON 2;Synthetic film for student projects.;2006;G;139;Sci-Fi
2;RETURN SPARK SECRET HORIZON 2;Synthetic film for student projects.;2006;G;139;Romance
3;SHADOW MOON STAR STORM 3;Synthetic film for student projects.;1997;PG;144;Thriller
3;SHADOW MOON STAR STORM 3;Synthetic film for student projects.;1997;PG;144;Comedy
4;EMPIRE NIGHT 4;Synthetic film for student projects.;2008;R;118;Action
4;EMPIRE NIGHT 4;Synthetic film for student projects.;2008;R;118;Comedy
5;ECHO NIGHT EMPIRE RIVER 5;Synthetic film for student projects.;2007;PG-13;102;Drama
5;ECHO NIGHT EMPIRE RIVER 5;Synthetic film for student projects.;2007;PG-13;102;Documentary
6;EMPIRE RETURN RIVER 6;Synthetic film for student projects.;2021;G;142;Thriller
6;EMPIRE RETURN RIVER 6;Synthetic film for student projects.;2021;G;142;Sci-Fi
7;DRAGON FALL 7;Synthetic film for student projects.;2003;G;151;Sci-Fi
7;DRAGON FALL 7;Synthetic film for student projects.;2003;G;151;Action
8;RIVER RIVER 8;Synthetic film for student projects.;2006;G;79;Romance
8;RIVER RIVER 8;Synthetic film for student projects.;2006;G;79;Documentary
9;RISING NIGHT 9;Synthetic film for student projects.;1999;R;133;Animation
10;FALL RISING RIVER 10;Synthetic film for student projects.;2024;R;148;Sci-Fi
11;SUN DRAGON 11;Synthetic film for student projects.;2012;G;67;Drama
12;DRAGON ECHO RIVER 12;Synthetic film for student projects.;2019;R;130;Animation
12;DRAGON ECHO RIVER 12;Synthetic film for student projects.;2019;R;130;Drama
13;SHADOW HORIZON RISING STORM 13;Synthetic film for student projects.;2012;PG;116;Documentary
13;SHADOW HORIZON RISING STORM 13;Synthetic film for student projects.;2012;PG;116;Drama
14;MYSTERY SHADOW 14;Synthetic film for student projects.;1991;PG-13;109;Comedy
15;DRAGON RETURN GALAXY 15;Synthetic film for student projects.;1992;G;160;Romance
16;STORM SHADOW STAR 16;Synthetic film for student projects.;2023;G;134;Comedy
16;STORM SHADOW STAR 16;Synthetic film for student projects.;2023;G;134;Documentary
17;LEGEND DAWN 17;Synthetic film for student projects.;1991;PG;149;Drama
17;LEGEND DAWN 17;Synthetic film for student projects.;1991;PG;149;Romance
18;EMPIRE STAR 18;Synthetic film for student projects.;1993;G;138;Thriller
18;EMPIRE STAR 18;Synthetic film for student projects.;1993;G;138;Romance
19;STORM DAWN 19;Synthetic film for student projects.;2004;R;103;Romance
19;STORM DAWN 19;Synthetic film for student projects.;2004;R;103;Comedy
20;STORM SUN DRAGON 20;Synthetic film for student projects.;1998;PG-13;135;Sci-Fi
21;STORM NIGHT 21;Synthetic film for student projects.;1999;PG;107;Thriller
22;SECRET SUN MYSTERY 22;Synthetic film for student projects.;1998;G;62;Romance
23;GALAXY EMPIRE 23;Synthetic film for student projects.;1995;R;148;Action
23;GALAXY EMPIRE 23;Synthetic film for student projects.;1995;R;148;Drama
24;LEGEND SHADOW LEGEND STAR 24;Synthetic film for student projects.;2007;G;90;Action
24;LEGEND SHADOW LEGEND STAR 24;Synthetic film for student projects.;2007;G;90;Comedy
25;EMPIRE DAWN MOON RIVER 25;Synthetic film for student projects.;2009;PG;131;Romance
26;TWILIGHT STORM 26;Synthetic film for student projects.;2013;PG;158;Thriller
26;TWILIGHT STORM 26;Synthetic film for student projects.;2013;PG;158;Romance
27;MYSTERY SHADOW STORM 27;Synthetic film for student projects.;1999;G;82;Drama
28;STAR SPARK 28;Synthetic film for student projects.;2008;R;102;Drama
29;STORM MYSTERY 29;Synthetic film for student projects.;2024;G;122;Animation
30;SECRET RETURN 30;Synthetic film for student projects.;2010;PG;146;Comedy
31;ECHO SECRET 31;Synthetic film for student projects.;1996;G;108;Documentary
31;ECHO SECRET 31;Synthetic film for student projects.;1996;G;108;Drama
32;SUN DAWN MYSTERY 32;Synthetic film for student projects.;2017;R;118;Action
33;LEGEND RETURN SHADOW 33;Synthetic film for student projects.;2012;G;76;Documentary
34;LEGEND STORM RETURN 34;Synthetic film for student projects.;2019;PG;88;Romance
34;LEGEND STORM RETURN 34;Synthetic film for student projects.;2019;PG;88;Animation
35;MOON EMPIRE SUN DRAGON 35;Synthetic film for student projects.;2004;PG;122;Drama
36;DAWN RETURN NIGHT GALAXY 36;Synthetic film for student projects.;2017;PG;101;Thriller
37;LEGEND SUN GALAXY FALL 37;Synthetic film for student projects.;1992;G;158;Romance
38;TWILIGHT RISING DAWN 38;Synthetic film for student projects.;1996;G;70;Thriller
39;FALL SHADOW LEGEND SPARK 39;Synthetic film for student projects.;2008;PG-13;121;Sci-Fi
40;RETURN SUN 40;Synthetic film for student projects.;1991;PG;150;Documentary
41;STAR RETURN STAR 41;Synthetic film for student projects.;1990;G;148;Animation
41;STAR RETURN STAR 41;Synthetic film for student projects.;1990;G;148;Comedy
42;FALL NIGHT MOON 42;Synthetic film for student projects.;2024;PG-13;70;Action
43;MYSTERY TWILIGHT SPARK MYSTERY 43;Synthetic film for student projects.;1997;PG-13;139;Action
44;EMPIRE STAR DRAGON 44;Synthetic film for student projects.;1994;G;102;Documentary
45;DAWN SUN SHADOW SECRET 45;Synthetic film for student projects.;2010;PG-13;147;Romance
46;RIVER SPARK 46;Synthetic film for student projects.;2012;G;127;Animation
47;DRAGON DRAGON HORIZON 47;Synthetic film for student projects.;2018;G;148;Romance
47;DRAGON DRAGON HORIZON 47;Synthetic film for student projects.;2018;G;148;Sci-Fi
48;RETURN RIVER 48;Synthetic film for student projects.;1995;PG;69;Sci-Fi
49;STORM LEGEND DAWN 49;Synthetic film for student projects.;1999;PG;113;Sci-Fi
50;SPARK FALL RETURN 50;Synthetic film for student projects.;1991;PG;62;Romance
50;SPARK FALL RETURN 50;Synthetic film for student projects.;1991;PG;62;Action
51;STAR ECHO FALL SUN 51;Synthetic film for student projects.;2011;R;135;Sci-Fi
51;STAR ECHO FALL SUN 51;Synthetic film for student projects.;2011;R;135;Comedy
52;HORIZON SUN LEGEND 52;Synthetic film for student projects.;2009;PG-13;121;Animation
53;LEGEND SPARK 53;Synthetic film for student projects.;2008;PG-13;80;Drama
53;LEGEND SPARK 53;Synthetic film for student projects.;2008;PG-13;80;Action
